hand,open_UTG,open_CO,open_BTN,face_BTN,face_BB
J8s,fold,raise,raise,fold,fold
J8o,fold,fold,fold,fold,fold
Q8s,fold,raise,raise,fold,call
Q8o,fold,fold,fold,fold,fold
K8s,fold,raise,raise,fold,call
K8o,fold,fold,fold,fold,fold
A8s,raise,raise,raise,raise,call
A8o,fold,raise,fold,fold,fold
99,raise,raise,raise,raise,call
T9s,raise,raise,raise,call,call
T9o,fold,raise,raise,fold,fold
J9s,fold,raise,raise,call,call
J9o,fold,fold,fold,fold,fold
Q9s,fold,raise,raise,call,call
Q9o,fold,fold,fold,fold,fold
K9s,fold,raise,raise,call,call
K9o,fold,raise,raise,fold,fold
A9s,raise,raise,raise,raise,call
A9o,fold,raise,raise,fold,call
TT,raise,raise,raise,raise,call
JTs,raise,raise,raise,raise,call
JTo,fold,raise,raise,call,call
QTs,raise,raise,raise,raise,call
QTo,fold,raise,raise,fold,fold
KTs,raise,raise,raise,raise,call
KTo,fold,raise,raise,fold,fold
ATs,raise,raise,raise,raise,call
ATo,raise,raise,raise,raise,call
JJ,raise,raise,raise,raise,raise
QJs,raise,raise,raise,raise,call
QJo,raise,raise,raise,raise,call
KJs,raise,raise,raise,raise,call
KJo,raise,raise,raise,raise,call
AJs,raise,raise,raise,raise,raise
AJo,raise,raise,raise,raise,raise
QQ,raise,raise,raise,raise,raise
KQs,raise,raise,raise,raise,call
KQo,raise,raise,raise,raise,call
AQs,raise,raise,raise,raise,raise
AQo,raise,raise,raise,raise,raise
KK,raise,raise,raise,raise,raise
AKs,raise,raise,raise,raise,raise
AKo,raise,raise,raise,raise,raise
AA,raise,raise,raise,raise,raise
